countryCode	countryName	regionCode	regionName	regionTypeName	source	totalArea	totalPopulation	totalPopulationDensity	url
GBR	United Kingdom	E07000124	Ribble Valley	non-metropolitan district (two-tier)	Office for National Statistics	583	58480	100	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000125	Rossendale	non-metropolitan district (two-tier)	Office for National Statistics	138	69487	504	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000126	South Ribble	non-metropolitan district (two-tier)	Office for National Statistics	113	109651	970	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000127	West Lancashire	non-metropolitan district (two-tier)	Office for National Statistics	347	112742	325	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000128	Wyre	non-metropolitan district (two-tier)	Office for National Statistics	283	109745	388	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E11000002	Merseyside (Met County)	metropolitan county	Office for National Statistics	645	1398030	2167	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000011	Knowsley	metropolitan borough	Office for National Statistics	87	147231	1692	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000012	Liverpool	metropolitan borough	Office for National Statistics	112	478580	4273	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000014	Sefton	metropolitan borough	Office for National Statistics	153	273707	1789	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000013	St. Helens	metropolitan borough	Office for National Statistics	136	177612	1306	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E08000015	Wirral	metropolitan borough	Office for National Statistics	157	320900	2044	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E12000003	YORKSHIRE AND THE HUMBER	English region	Office for National Statistics	15405	5390576	350	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000011	East Riding of Yorkshire	unitary authority	Office for National Statistics	2405	336685	140	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000010	"Kingston upon Hull, City of"	unitary authority	Office for National Statistics	71	258995	3648	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000012	North East Lincolnshire	unitary authority	Office for National Statistics	192	159570	831	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000013	North Lincolnshire	unitary authority	Office for National Statistics	846	169820	201	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E06000014	York	unitary authority	Office for National Statistics	272	206856	761	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E10000023	North Yorkshire	county	Office for National Statistics	8038	602277	75	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
GBR	United Kingdom	E07000163	Craven	non-metropolitan district (two-tier)	Office for National Statistics	1177	55801	47	https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland
